"type","condition1","condition2","trialNo","target","stim1","stim2","stim3","stim4","stim5","stim6","key","ITI","presTime","ISI","presTimeS2","stimFormat","title","content","trialText","button1","feedbackIncorrect","feedbackTime","random","randomBlock","subjectGroup","timestamp","responses","RTs","correct","turkID","age","sex","education","handedness","sexOrientation","ethnicity","other1","other2","other3","other4","other5","browser","version","screenWidth","screenHeight","OS","OS_lang","calibration","ip","code"
"test","immoral","scenario1",14,"How morally wrong would it be for Heinz to. . . blackmail someone for the money?","Totally morally fine","Somewhat morally fine","In between","Somewhat morally wrong","Totally morally wrong","Not applicable","na",600,"na","na","na","survey","na","na","na","na","na","na",1,1,2,119818,5,7093,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Firefox",46,1280,800,"Windows","en-US",0.89,NA,"9iihwXGlzAVzPInX"
"test","impossible","scenario1",12,"How morally wrong would it be for Heinz to. . . get the money by clapping?","Totally morally fine","Somewhat morally fine","In between","Somewhat morally wrong","Totally morally wrong","Not applicable","na",600,"na","na","na","survey","na","na","na","na","na","na",1,1,2,125520,1,5700,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Firefox",46,1280,800,"Windows","en-US",0.89,NA,"9iihwXGlzAVzPInX"
"test","immoral","scenario1",15,"How morally wrong would it be for Heinz to. . . commit credit card fraud?","Totally morally fine","Somewhat morally fine","In between","Somewhat morally wrong","Totally morally wrong","Not applicable","na",600,"na","na","na","survey","na","na","na","na","na","na",1,1,2,127994,5,2473,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Firefox",46,1280,800,"Windows","en-US",0.89,NA,"9iihwXGlzAVzPInX"
"test","possible","scenario1",5,"How morally wrong would it be for Heinz to. . . borrow the money from a bank?","Totally morally fine","Somewhat morally fine","In between","Somewhat morally wrong","Totally morally wrong","Not applicable","na",600,"na","na","na","survey","na","na","na","na","na","na",1,1,2,130567,1,2571,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Firefox",46,1280,800,"Windows","en-US",0.89,NA,"9iihwXGlzAVzPInX"
"test","possible","scenario1",2,"How morally wrong would it be for Heinz to. . . use a generic medication instead?","Totally morally fine","Somewhat morally fine","In between","Somewhat morally wrong","Totally morally wrong","Not applicable","na",600,"na","na","na","survey","na","na","na","na","na","na",1,1,2,132979,1,2410,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Firefox",46,1280,800,"Windows","en-US",0.89,NA,"9iihwXGlzAVzPInX"
"test","irrational","scenario1",23,"How morally wrong would it be for Heinz to. . . go on strike until wages increase?","Totally morally fine","Somewhat morally fine","In between","Somewhat morally wrong","Totally morally wrong","Not applicable","na",600,"na","na","na","survey","na","na","na","na","na","na",1,1,2,138711,3,5730,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Firefox",46,1280,800,"Windows","en-US",0.89,NA,"9iihwXGlzAVzPInX"
"test","impossible","scenario1",10,"How morally wrong would it be for Heinz to. . . make the money time traveling?","Totally morally fine","Somewhat morally fine","In between","Somewhat morally wrong","Totally morally wrong","Not applicable","na",600,"na","na","na","survey","na","na","na","na","na","na",1,1,2,143153,1,4440,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Firefox",46,1280,800,"Windows","en-US",0.89,NA,"9iihwXGlzAVzPInX"
"test","improbable","scenario1",20,"How morally wrong would it be for Heinz to. . . discover a cheap new medicine?","Totally morally fine","Somewhat morally fine","In between","Somewhat morally wrong","Totally morally wrong","Not applicable","na",600,"na","na","na","survey","na","na","na","na","na","na",1,1,2,144998,1,1843,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Firefox",46,1280,800,"Windows","en-US",0.89,NA,"9iihwXGlzAVzPInX"
"test","irrational","scenario1",21,"How morally wrong would it be for Heinz to. . . sell his own medication?","Totally morally fine","Somewhat morally fine","In between","Somewhat morally wrong","Totally morally wrong","Not applicable","na",600,"na","na","na","survey","na","na","na","na","na","na",1,1,2,147135,1,2134,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Firefox",46,1280,800,"Windows","en-US",0.89,NA,"9iihwXGlzAVzPInX"
"test","possible","scenario1",4,"How morally wrong would it be for Heinz to. . . enroll in federal healthcare?","Totally morally fine","Somewhat morally fine","In between","Somewhat morally wrong","Totally morally wrong","Not applicable","na",600,"na","na","na","survey","na","na","na","na","na","na",1,1,2,149297,1,2158,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Firefox",46,1280,800,"Windows","en-US",0.89,NA,"9iihwXGlzAVzPInX"
