condition1,condition2,trialNo,response_m,response_r,response_l,p_resp_s,p_meanRT_s,p_resp_rf,p_meanRT_rf,c_resp_s,c_meanRT_s,c_resp_rf,c_meanRT_rf,may_resp_s,may_meanRT_s,may_resp_rf,may_meanRT_rf,might_resp_s,might_meanRT_s,might_resp_rf,might_meanRT_rf,o_resp_s,o_meanRT_s,o_resp_rf,o_meanRT_rf,s_resp_s,s_meanRT_s,s_resp_rf,s_meanRT_rf
immoral,scenario1,13,4.722222222222222,4.0,4.478260869565218,0.7727272727272727,1050.621212121212,0.72,2207.88,0.6097560975609756,1030.5121951219512,0.5454545454545454,2067.5,0.631578947368421,1064.0526315789473,0.3333333333333333,4408.0,0.5416666666666666,979.25,0.4166666666666667,2257.3333333333335,0.23529411764705882,976.843137254902,0.1,2017.5,0.1111111111111111,1008.3611111111111,0.0,1854.0
immoral,scenario1,14,4.611111111111111,4.3,4.521739130434782,0.5652173913043478,1029.3188405797102,0.76,2141.12,0.47619047619047616,1004.952380952381,0.64,2009.52,0.47058823529411764,1130.764705882353,0.42857142857142855,2303.285714285714,0.4166666666666667,1044.5833333333333,0.375,3108.0,0.16981132075471697,972.7547169811321,0.0,3195.0,0.11764705882352941,1004.6764705882352,0.0,1908.1
immoral,scenario1,15,4.777777777777778,3.95,4.3478260869565215,0.6212121212121212,1040.0,0.7714285714285715,2347.3142857142857,0.625,1000.575,0.5769230769230769,2460.653846153846,0.5555555555555556,1038.611111111111,0.4166666666666667,2125.0833333333335,0.4583333333333333,1053.9166666666667,0.46153846153846156,2639.4615384615386,0.19607843137254902,944.6078431372549,0.3333333333333333,1925.5,0.1111111111111111,970.3611111111111,0.09090909090909091,1944.909090909091
immoral,scenario1,16,4.611111111111111,3.65,4.130434782608695,0.696969696969697,1096.2727272727273,0.8378378378378378,2209.054054054054,0.6585365853658537,1092.1951219512196,0.52,2121.88,0.6111111111111112,1129.2222222222222,0.5,2213.5833333333335,0.5,1030.590909090909,0.3333333333333333,2188.733333333333,0.3137254901960784,1059.8823529411766,0.25,2262.85,0.21212121212121213,1123.7575757575758,0.16666666666666666,1857.6666666666667
immoral,scenario2,37,4.833333333333333,4.65,4.869565217391305,0.43243243243243246,995.7567567567568,0.8076923076923077,1911.8461538461538,0.5581395348837209,999.6511627906976,0.6111111111111112,2041.111111111111,0.22580645161290322,985.0645161290323,0.4,2895.2,0.35714285714285715,907.4285714285714,0.3333333333333333,1796.3333333333333,0.043478260869565216,889.0869565217391,0.0,2750.6666666666665,0.10204081632653061,854.4489795918367,0.0,1984.5
immoral,scenario2,38,4.444444444444445,4.15,4.304347826086956,0.625,1115.171875,0.4716981132075472,2362.0377358490564,0.6756756756756757,1079.3783783783783,0.44,2828.92,0.5,1108.7666666666667,0.4666666666666667,2349.4,0.4166666666666667,1109.375,0.15384615384615385,1976.923076923077,0.22727272727272727,1082.590909090909,0.1875,2280.4375,0.2826086956521739,1086.6521739130435,0.13636363636363635,3171.681818181818
immoral,scenario2,39,4.833333333333333,4.6,4.826086956521739,0.35384615384615387,1120.4923076923078,0.7692307692307693,2165.980769230769,0.40540540540540543,1134.972972972973,0.47619047619047616,2505.3333333333335,0.1875,1091.375,0.36363636363636365,2484.818181818182,0.2222222222222222,1064.111111111111,0.09090909090909091,2374.818181818182,0.11904761904761904,1046.6190476190477,0.21428571428571427,1753.7857142857142,0.10416666666666667,1104.0208333333333,0.0,1853.1666666666667
immoral,scenario2,40,4.055555555555555,3.6,3.4347826086956523,0.6507936507936508,1114.3492063492063,0.8095238095238095,2453.5476190476193,0.6923076923076923,1148.128205128205,0.64,2757.0,0.48484848484848486,1089.5151515151515,0.6470588235294118,2588.4117647058824,0.5925925925925926,1062.962962962963,0.3888888888888889,2335.6111111111113,0.1951219512195122,1082.4146341463415,0.2222222222222222,2092.5555555555557,0.30952380952380953,1030.595238095238,0.125,2115.0
immoral,scenario3,61,4.722222222222222,4.4,4.086956521739131,0.5921052631578947,1080.592105263158,0.696969696969697,2081.181818181818,0.5833333333333334,1079.0,0.6923076923076923,2598.423076923077,0.35294117647058826,1062.1176470588234,0.5454545454545454,1977.7272727272727,0.3225806451612903,959.0967741935484,0.25,3035.75,0.1836734693877551,997.3673469387755,0.0,1853.0,0.043478260869565216,992.6086956521739,0.1,2392.1
immoral,scenario3,62,4.944444444444445,4.4,4.739130434782608,0.5949367088607594,1016.4810126582279,0.6785714285714286,2154.1785714285716,0.5,1157.076923076923,0.7222222222222222,2087.5,0.3888888888888889,980.5,0.36363636363636365,2399.7272727272725,0.30303030303030304,996.5454545454545,0.7142857142857143,2019.0,0.0425531914893617,903.531914893617,0.0,1964.0,0.10204081632653061,924.5102040816327,0.0,1926.0
